,Survived,Pclass,Sex,Age,Ticket,Fare,Embarked,family
0,0,3,1,22.0,A/5 21171,7.25,S,1
1,1,1,0,38.0,PC 17599,71.2833,C,1
2,1,3,0,26.0,STON/O2. 3101282,7.925,S,0
3,1,1,0,35.0,113803,53.1,S,1
4,0,3,1,35.0,373450,8.05,S,0
5,0,3,1,29.69911764705882,330877,8.4583,Q,0
6,0,1,1,54.0,17463,51.8625,S,0
7,0,3,1,2.0,349909,21.075,S,4
8,1,3,0,27.0,347742,11.1333,S,2
9,1,2,0,14.0,237736,30.0708,C,1
10,1,3,0,4.0,PP 9549,16.7,S,2
11,1,1,0,58.0,113783,26.55,S,0
12,0,3,1,20.0,A/5. 2151,8.05,S,0
13,0,3,1,39.0,347082,31.275,S,6
14,0,3,0,14.0,350406,7.8542,S,0
15,1,2,0,55.0,248706,16.0,S,0
16,0,3,1,2.0,382652,29.125,Q,5
17,1,2,1,29.69911764705882,244373,13.0,S,0
18,0,3,0,31.0,345763,18.0,S,1
19,1,3,0,29.69911764705882,2649,7.225,C,0
20,0,2,1,35.0,239865,26.0,S,0
21,1,2,1,34.0,248698,13.0,S,0
22,1,3,0,15.0,330923,8.0292,Q,0
23,1,1,1,28.0,113788,35.5,S,0
24,0,3,0,8.0,349909,21.075,S,4
25,1,3,0,38.0,347077,31.3875,S,6
26,0,3,1,29.69911764705882,2631,7.225,C,0
27,0,1,1,19.0,19950,263.0,S,5
28,1,3,0,29.69911764705882,330959,7.8792,Q,0
29,0,3,1,29.69911764705882,349216,7.8958,S,0
30,0,1,1,40.0,PC 17601,27.7208,C,0
31,1,1,0,29.69911764705882,PC 17569,146.5208,C,1
32,1,3,0,29.69911764705882,335677,7.75,Q,0
33,0,2,1,66.0,C.A. 24579,10.5,S,0
34,0,1,1,28.0,PC 17604,82.1708,C,1
35,0,1,1,42.0,113789,52.0,S,1
36,1,3,1,29.69911764705882,2677,7.2292,C,0
37,0,3,1,21.0,A./5. 2152,8.05,S,0
38,0,3,0,18.0,345764,18.0,S,2
39,1,3,0,14.0,2651,11.2417,C,1
40,0,3,0,40.0,7546,9.475,S,1
41,0,2,0,27.0,11668,21.0,S,1
42,0,3,1,29.69911764705882,349253,7.8958,C,0
43,1,2,0,3.0,SC/Paris 2123,41.5792,C,3
44,1,3,0,19.0,330958,7.8792,Q,0
45,0,3,1,29.69911764705882,S.C./A.4. 23567,8.05,S,0
46,0,3,1,29.69911764705882,370371,15.5,Q,1
47,1,3,0,29.69911764705882,14311,7.75,Q,0
48,0,3,1,29.69911764705882,2662,21.6792,C,2
49,0,3,0,18.0,349237,17.8,S,1
50,0,3,1,7.0,3101295,39.6875,S,5
51,0,3,1,21.0,A/4. 39886,7.8,S,0
52,1,1,0,49.0,PC 17572,76.7292,C,1
53,1,2,0,29.0,2926,26.0,S,1
54,0,1,1,65.0,113509,61.9792,C,1
55,1,1,1,29.69911764705882,19947,35.5,S,0
56,1,2,0,21.0,C.A. 31026,10.5,S,0
57,0,3,1,28.5,2697,7.2292,C,0
58,1,2,0,5.0,C.A. 34651,27.75,S,3
59,0,3,1,11.0,CA 2144,46.9,S,7
60,0,3,1,22.0,2669,7.2292,C,0
61,1,1,0,38.0,113572,80.0,S,0
62,0,1,1,45.0,36973,83.475,S,1
63,0,3,1,4.0,347088,27.9,S,5
64,0,1,1,29.69911764705882,PC 17605,27.7208,C,0
65,1,3,1,29.69911764705882,2661,15.2458,C,2
66,1,2,0,29.0,C.A. 29395,10.5,S,0
67,0,3,1,19.0,S.P. 3464,8.1583,S,0
68,1,3,0,17.0,3101281,7.925,S,6
69,0,3,1,26.0,315151,8.6625,S,2
70,0,2,1,32.0,C.A. 33111,10.5,S,0
71,0,3,0,16.0,CA 2144,46.9,S,7
72,0,2,1,21.0,S.O.C. 14879,73.5,S,0
73,0,3,1,26.0,2680,14.4542,C,1
74,1,3,1,32.0,1601,56.4958,S,0
75,0,3,1,25.0,348123,7.65,S,0
76,0,3,1,29.69911764705882,349208,7.8958,S,0
77,0,3,1,29.69911764705882,374746,8.05,S,0
78,1,2,1,0.83,248738,29.0,S,2
79,1,3,0,30.0,364516,12.475,S,0
80,0,3,1,22.0,345767,9.0,S,0
81,1,3,1,29.0,345779,9.5,S,0
82,1,3,0,29.69911764705882,330932,7.7875,Q,0
83,0,1,1,28.0,113059,47.1,S,0
84,1,2,0,17.0,SO/C 14885,10.5,S,0
85,1,3,0,33.0,3101278,15.85,S,3
86,0,3,1,16.0,W./C. 6608,34.375,S,4
87,0,3,1,29.69911764705882,SOTON/OQ 392086,8.05,S,0
88,1,1,0,23.0,19950,263.0,S,5
89,0,3,1,24.0,343275,8.05,S,0
90,0,3,1,29.0,343276,8.05,S,0
91,0,3,1,20.0,347466,7.8542,S,0
92,0,1,1,46.0,W.E.P. 5734,61.175,S,1
93,0,3,1,26.0,C.A. 2315,20.575,S,3
94,0,3,1,59.0,364500,7.25,S,0
95,0,3,1,29.69911764705882,374910,8.05,S,0
96,0,1,1,71.0,PC 17754,34.6542,C,0
97,1,1,1,23.0,PC 17759,63.3583,C,1
98,1,2,0,34.0,231919,23.0,S,1
99,0,2,1,34.0,244367,26.0,S,1
100,0,3,0,28.0,349245,7.8958,S,0
101,0,3,1,29.69911764705882,349215,7.8958,S,0
102,0,1,1,21.0,35281,77.2875,S,1
103,0,3,1,33.0,7540,8.6542,S,0
104,0,3,1,37.0,3101276,7.925,S,2
105,0,3,1,28.0,349207,7.8958,S,0
106,1,3,0,21.0,343120,7.65,S,0
107,1,3,1,29.69911764705882,312991,7.775,S,0
108,0,3,1,38.0,349249,7.8958,S,0
109,1,3,0,29.69911764705882,371110,24.15,Q,1
110,0,1,1,47.0,110465,52.0,S,0
111,0,3,0,14.5,2665,14.4542,C,1
112,0,3,1,22.0,324669,8.05,S,0
113,0,3,0,20.0,4136,9.825,S,1
114,0,3,0,17.0,2627,14.4583,C,0
115,0,3,1,21.0,STON/O 2. 3101294,7.925,S,0
116,0,3,1,70.5,370369,7.75,Q,0
117,0,2,1,29.0,11668,21.0,S,1
118,0,1,1,24.0,PC 17558,247.5208,C,1
119,0,3,0,2.0,347082,31.275,S,6
120,0,2,1,21.0,S.O.C. 14879,73.5,S,2
121,0,3,1,29.69911764705882,A4. 54510,8.05,S,0
122,0,2,1,32.5,237736,30.0708,C,1
123,1,2,0,32.5,27267,13.0,S,0
124,0,1,1,54.0,35281,77.2875,S,1
125,1,3,1,12.0,2651,11.2417,C,1
126,0,3,1,29.69911764705882,370372,7.75,Q,0
127,1,3,1,24.0,C 17369,7.1417,S,0
128,1,3,0,29.69911764705882,2668,22.3583,C,2
129,0,3,1,45.0,347061,6.975,S,0
130,0,3,1,33.0,349241,7.8958,C,0
131,0,3,1,20.0,SOTON/O.Q. 3101307,7.05,S,0
132,0,3,0,47.0,A/5. 3337,14.5,S,1
133,1,2,0,29.0,228414,26.0,S,1
134,0,2,1,25.0,C.A. 29178,13.0,S,0
135,0,2,1,23.0,SC/PARIS 2133,15.0458,C,0
136,1,1,0,19.0,11752,26.2833,S,2
137,0,1,1,37.0,113803,53.1,S,1
138,0,3,1,16.0,7534,9.2167,S,0
139,0,1,1,24.0,PC 17593,79.2,C,0
140,0,3,0,29.69911764705882,2678,15.2458,C,2
141,1,3,0,22.0,347081,7.75,S,0
142,1,3,0,24.0,STON/O2. 3101279,15.85,S,1
143,0,3,1,19.0,365222,6.75,Q,0
144,0,2,1,18.0,231945,11.5,S,0
145,0,2,1,19.0,C.A. 33112,36.75,S,2
146,1,3,1,27.0,350043,7.7958,S,0
147,0,3,0,9.0,W./C. 6608,34.375,S,4
148,0,2,1,36.5,230080,26.0,S,2
149,0,2,1,42.0,244310,13.0,S,0
150,0,2,1,51.0,S.O.P. 1166,12.525,S,0
151,1,1,0,22.0,113776,66.6,S,1
152,0,3,1,55.5,A.5. 11206,8.05,S,0
153,0,3,1,40.5,A/5. 851,14.5,S,2
154,0,3,1,29.69911764705882,Fa 265302,7.3125,S,0
155,0,1,1,51.0,PC 17597,61.3792,C,1
156,1,3,0,16.0,35851,7.7333,Q,0
157,0,3,1,30.0,SOTON/OQ 392090,8.05,S,0
158,0,3,1,29.69911764705882,315037,8.6625,S,0
159,0,3,1,29.69911764705882,CA. 2343,69.55,S,10
160,0,3,1,44.0,371362,16.1,S,1
161,1,2,0,40.0,C.A. 33595,15.75,S,0
162,0,3,1,26.0,347068,7.775,S,0
163,0,3,1,17.0,315093,8.6625,S,0
164,0,3,1,1.0,3101295,39.6875,S,5
165,1,3,1,9.0,363291,20.525,S,2
166,1,1,0,29.69911764705882,113505,55.0,S,1
167,0,3,0,45.0,347088,27.9,S,5
168,0,1,1,29.69911764705882,PC 17318,25.925,S,0
169,0,3,1,28.0,1601,56.4958,S,0
170,0,1,1,61.0,111240,33.5,S,0
171,0,3,1,4.0,382652,29.125,Q,5
172,1,3,0,1.0,347742,11.1333,S,2
173,0,3,1,21.0,STON/O 2. 3101280,7.925,S,0
174,0,1,1,56.0,17764,30.6958,C,0
175,0,3,1,18.0,350404,7.8542,S,2
176,0,3,1,29.69911764705882,4133,25.4667,S,4
177,0,1,0,50.0,PC 17595,28.7125,C,0
178,0,2,1,30.0,250653,13.0,S,0
179,0,3,1,36.0,LINE,0.0,S,0
180,0,3,0,29.69911764705882,CA. 2343,69.55,S,10
181,0,2,1,29.69911764705882,SC/PARIS 2131,15.05,C,0
182,0,3,1,9.0,347077,31.3875,S,6
183,1,2,1,1.0,230136,39.0,S,3
184,1,3,0,4.0,315153,22.025,S,2
185,0,1,1,29.69911764705882,113767,50.0,S,0
186,1,3,0,29.69911764705882,370365,15.5,Q,1
187,1,1,1,45.0,111428,26.55,S,0
188,0,3,1,40.0,364849,15.5,Q,2
189,0,3,1,36.0,349247,7.8958,S,0
190,1,2,0,32.0,234604,13.0,S,0
191,0,2,1,19.0,28424,13.0,S,0
192,1,3,0,19.0,350046,7.8542,S,1
193,1,2,1,3.0,230080,26.0,S,2
194,1,1,0,44.0,PC 17610,27.7208,C,0
195,1,1,0,58.0,PC 17569,146.5208,C,0
196,0,3,1,29.69911764705882,368703,7.75,Q,0
197,0,3,1,42.0,4579,8.4042,S,1
198,1,3,0,29.69911764705882,370370,7.75,Q,0
199,0,2,0,24.0,248747,13.0,S,0
200,0,3,1,28.0,345770,9.5,S,0
201,0,3,1,29.69911764705882,CA. 2343,69.55,S,10
202,0,3,1,34.0,3101264,6.4958,S,0
203,0,3,1,45.5,2628,7.225,C,0
204,1,3,1,18.0,A/5 3540,8.05,S,0
205,0,3,0,2.0,347054,10.4625,S,1
206,0,3,1,32.0,3101278,15.85,S,1
207,1,3,1,26.0,2699,18.7875,C,0
208,1,3,0,16.0,367231,7.75,Q,0
209,1,1,1,40.0,112277,31.0,C,0
210,0,3,1,24.0,SOTON/O.Q. 3101311,7.05,S,0
211,1,2,0,35.0,F.C.C. 13528,21.0,S,0
212,0,3,1,22.0,A/5 21174,7.25,S,0
213,0,2,1,30.0,250646,13.0,S,0
214,0,3,1,29.69911764705882,367229,7.75,Q,1
215,1,1,0,31.0,35273,113.275,C,1
216,1,3,0,27.0,STON/O2. 3101283,7.925,S,0
217,0,2,1,42.0,243847,27.0,S,1
218,1,1,0,32.0,11813,76.2917,C,0
219,0,2,1,30.0,W/C 14208,10.5,S,0
220,1,3,1,16.0,SOTON/OQ 392089,8.05,S,0
221,0,2,1,27.0,220367,13.0,S,0
222,0,3,1,51.0,21440,8.05,S,0
223,0,3,1,29.69911764705882,349234,7.8958,S,0
224,1,1,1,38.0,19943,90.0,S,1
225,0,3,1,22.0,PP 4348,9.35,S,0
226,1,2,1,19.0,SW/PP 751,10.5,S,0
227,0,3,1,20.5,A/5 21173,7.25,S,0
228,0,2,1,18.0,236171,13.0,S,0
229,0,3,0,29.69911764705882,4133,25.4667,S,4
230,1,1,0,35.0,36973,83.475,S,1
231,0,3,1,29.0,347067,7.775,S,0
232,0,2,1,59.0,237442,13.5,S,0
233,1,3,0,5.0,347077,31.3875,S,6
234,0,2,1,24.0,C.A. 29566,10.5,S,0
235,0,3,0,29.69911764705882,W./C. 6609,7.55,S,0
236,0,2,1,44.0,26707,26.0,S,1
237,1,2,0,8.0,C.A. 31921,26.25,S,2
238,0,2,1,19.0,28665,10.5,S,0
239,0,2,1,33.0,SCO/W 1585,12.275,S,0
240,0,3,0,29.69911764705882,2665,14.4542,C,1
241,1,3,0,29.69911764705882,367230,15.5,Q,1
242,0,2,1,29.0,W./C. 14263,10.5,S,0
243,0,3,1,22.0,STON/O 2. 3101275,7.125,S,0
244,0,3,1,30.0,2694,7.225,C,0
245,0,1,1,44.0,19928,90.0,Q,2
246,0,3,0,25.0,347071,7.775,S,0
247,1,2,0,24.0,250649,14.5,S,2
248,1,1,1,37.0,11751,52.5542,S,2
249,0,2,1,54.0,244252,26.0,S,1
250,0,3,1,29.69911764705882,362316,7.25,S,0
251,0,3,0,29.0,347054,10.4625,S,2
252,0,1,1,62.0,113514,26.55,S,0
253,0,3,1,30.0,A/5. 3336,16.1,S,1
254,0,3,0,41.0,370129,20.2125,S,2
